phi1_deg,lam0_deg,fov_deg,mae
-90.0,-180.0,10.0,105.19602004092866
-90.0,-180.0,30.0,105.19602004092866
-90.0,-180.0,50.0,105.19602004092866
-90.0,-180.0,70.0,105.19602004092866
-90.0,-180.0,90.0,105.19602004092866
-90.0,-140.0,10.0,107.81611173782083
-90.0,-140.0,30.0,107.81611173782083
-90.0,-140.0,50.0,107.81611173782083
-90.0,-140.0,70.0,107.81611173782083
-90.0,-140.0,90.0,107.81611173782083
-90.0,-100.0,10.0,109.85426431236141
-90.0,-100.0,30.0,109.85426431236141
-90.0,-100.0,50.0,109.85426431236141
-90.0,-100.0,70.0,109.85426431236141
-90.0,-100.0,90.0,109.85426431236141
-90.0,-60.0,10.0,110.90579635392488
-90.0,-60.0,30.0,110.90579635392488
-90.0,-60.0,50.0,110.90579635392488
-90.0,-60.0,70.0,110.90579635392488
-90.0,-60.0,90.0,110.90579635392488
-90.0,-20.0,10.0,112.07705888435744
-90.0,-20.0,30.0,112.07705888435744
-90.0,-20.0,50.0,112.07705888435744
-90.0,-20.0,70.0,112.07705888435744
-90.0,-20.0,90.0,112.07705888435744
-90.0,20.0,10.0,111.70631044718951
-90.0,20.0,30.0,111.70631044718951
-90.0,20.0,50.0,111.70631044718951
-90.0,20.0,70.0,111.70631044718951
-90.0,20.0,90.0,111.70631044718951
-90.0,60.0,10.0,111.5904055450146
-90.0,60.0,30.0,111.5904055450146
-90.0,60.0,50.0,111.5904055450146
-90.0,60.0,70.0,111.5904055450146
-90.0,60.0,90.0,111.5904055450146
-90.0,100.0,10.0,111.11403904788077
-90.0,100.0,30.0,111.11403904788077
-90.0,100.0,50.0,111.11403904788077
-90.0,100.0,70.0,111.11403904788077
-90.0,100.0,90.0,111.11403904788077
-90.0,140.0,10.0,117.42610347602687
-90.0,140.0,30.0,117.42610347602687
-90.0,140.0,50.0,117.42610347602687
-90.0,140.0,70.0,117.42610347602687
-90.0,140.0,90.0,117.42610347602687
-90.0,180.0,10.0,118.13618909302839
-90.0,180.0,30.0,118.13618909302839
-90.0,180.0,50.0,118.13618909302839
-90.0,180.0,70.0,118.13618909302839
-90.0,180.0,90.0,118.13618909302839
-70.0,-180.0,10.0,111.75192983480808
-70.0,-180.0,30.0,111.75192983480808
-70.0,-180.0,50.0,111.75192983480808
-70.0,-180.0,70.0,111.75192983480808
-70.0,-180.0,90.0,111.75192983480808
-70.0,-140.0,10.0,106.26735028651169
-70.0,-140.0,30.0,106.26735028651169
-70.0,-140.0,50.0,106.26735028651169
-70.0,-140.0,70.0,106.26735028651169
-70.0,-140.0,90.0,106.26735028651169
-70.0,-100.0,10.0,104.18291903287272
-70.0,-100.0,30.0,104.18291903287272
-70.0,-100.0,50.0,104.18291903287272
-70.0,-100.0,70.0,104.18291903287272
-70.0,-100.0,90.0,104.18291903287272
-70.0,-60.0,10.0,104.99388569657111
-70.0,-60.0,30.0,104.99388569657111
-70.0,-60.0,50.0,104.99388569657111
-70.0,-60.0,70.0,104.99388569657111
-70.0,-60.0,90.0,104.99388569657111
-70.0,-20.0,10.0,108.50995534219332
-70.0,-20.0,30.0,108.50995534219332
-70.0,-20.0,50.0,108.50995534219332
-70.0,-20.0,70.0,108.50995534219332
-70.0,-20.0,90.0,108.50995534219332
-70.0,20.0,10.0,111.7274220788014
-70.0,20.0,30.0,111.7274220788014
-70.0,20.0,50.0,111.7274220788014
-70.0,20.0,70.0,111.7274220788014
-70.0,20.0,90.0,111.7274220788014
-70.0,60.0,10.0,115.13318234485658
-70.0,60.0,30.0,115.13318234485658
-70.0,60.0,50.0,115.13318234485658
-70.0,60.0,70.0,115.13318234485658
-70.0,60.0,90.0,115.13318234485658
-70.0,100.0,10.0,118.69764102755768
-70.0,100.0,30.0,118.69764102755768
-70.0,100.0,50.0,118.69764102755768
-70.0,100.0,70.0,118.69764102755768
-70.0,100.0,90.0,118.69764102755768
-70.0,140.0,10.0,118.70381480370482
-70.0,140.0,30.0,118.70381480370482
-70.0,140.0,50.0,118.70381480370482
-70.0,140.0,70.0,118.70381480370482
-70.0,140.0,90.0,118.70381480370482
-70.0,180.0,10.0,118.99656487622379
-70.0,180.0,30.0,118.99656487622379
-70.0,180.0,50.0,118.99656487622379
-70.0,180.0,70.0,118.99656487622379
-70.0,180.0,90.0,118.99656487622379
-50.0,-180.0,10.0,113.92760431847927
-50.0,-180.0,30.0,113.92760431847927
-50.0,-180.0,50.0,113.92760431847927
-50.0,-180.0,70.0,113.92760431847927
-50.0,-180.0,90.0,113.92760431847927
-50.0,-140.0,10.0,103.52184748556652
-50.0,-140.0,30.0,103.52184748556652
-50.0,-140.0,50.0,103.52184748556652
-50.0,-140.0,70.0,103.52184748556652
-50.0,-140.0,90.0,103.52184748556652
-50.0,-100.0,10.0,99.13070218905763
-50.0,-100.0,30.0,99.13070218905763
-50.0,-100.0,50.0,99.13070218905763
-50.0,-100.0,70.0,99.13070218905763
-50.0,-100.0,90.0,99.13070218905763
-50.0,-60.0,10.0,100.25045417753395
-50.0,-60.0,30.0,100.25045417753395
-50.0,-60.0,50.0,100.25045417753395
-50.0,-60.0,70.0,100.25045417753395
-50.0,-60.0,90.0,100.25045417753395
-50.0,-20.0,10.0,103.6998189125922
-50.0,-20.0,30.0,103.6998189125922
-50.0,-20.0,50.0,103.6998189125922
-50.0,-20.0,70.0,103.6998189125922
-50.0,-20.0,90.0,103.6998189125922
-50.0,20.0,10.0,109.96155624059664
-50.0,20.0,30.0,109.96155624059664
-50.0,20.0,50.0,109.96155624059664
-50.0,20.0,70.0,109.96155624059664
-50.0,20.0,90.0,109.96155624059664
-50.0,60.0,10.0,117.51531335509182
-50.0,60.0,30.0,117.51531335509182
-50.0,60.0,50.0,117.51531335509182
-50.0,60.0,70.0,117.51531335509182
-50.0,60.0,90.0,117.51531335509182
-50.0,100.0,10.0,118.91042776855653
-50.0,100.0,30.0,118.91042776855653
-50.0,100.0,50.0,118.91042776855653
-50.0,100.0,70.0,118.91042776855653
-50.0,100.0,90.0,118.91042776855653
-50.0,140.0,10.0,118.23195131169322
-50.0,140.0,30.0,118.23195131169322
-50.0,140.0,50.0,118.23195131169322
-50.0,140.0,70.0,118.23195131169322
-50.0,140.0,90.0,118.23195131169322
-50.0,180.0,10.0,117.95961443147442
-50.0,180.0,30.0,117.95961443147442
-50.0,180.0,50.0,117.95961443147442
-50.0,180.0,70.0,117.95961443147442
-50.0,180.0,90.0,117.95961443147442
-30.0,-180.0,10.0,114.44436203818157
-30.0,-180.0,30.0,114.44436203818157
-30.0,-180.0,50.0,114.44436203818157
-30.0,-180.0,70.0,114.44436203818157
-30.0,-180.0,90.0,114.44436203818157
-30.0,-140.0,10.0,101.78914835164835
-30.0,-140.0,30.0,101.78914835164835
-30.0,-140.0,50.0,101.78914835164835
-30.0,-140.0,70.0,101.78914835164835
-30.0,-140.0,90.0,101.78914835164835
-30.0,-100.0,10.0,91.32475234679788
-30.0,-100.0,30.0,91.32475234679788
-30.0,-100.0,50.0,91.32475234679788
-30.0,-100.0,70.0,91.32475234679788
-30.0,-100.0,90.0,91.32475234679788
-30.0,-60.0,10.0,91.61709532415775
-30.0,-60.0,30.0,91.61709532415775
-30.0,-60.0,50.0,91.61709532415775
-30.0,-60.0,70.0,91.61709532415775
-30.0,-60.0,90.0,91.61709532415775
-30.0,-20.0,10.0,97.43193604449078
-30.0,-20.0,30.0,97.43193604449078
-30.0,-20.0,50.0,97.43193604449078
-30.0,-20.0,70.0,97.43193604449078
-30.0,-20.0,90.0,97.43193604449078
-30.0,20.0,10.0,107.18215733982157
-30.0,20.0,30.0,107.18215733982157
-30.0,20.0,50.0,107.18215733982157
-30.0,20.0,70.0,107.18215733982157
-30.0,20.0,90.0,107.18215733982157
-30.0,60.0,10.0,115.72954724500671
-30.0,60.0,30.0,115.72954724500671
-30.0,60.0,50.0,115.72954724500671
-30.0,60.0,70.0,115.72954724500671
-30.0,60.0,90.0,115.72954724500671
-30.0,100.0,10.0,118.58847868190117
-30.0,100.0,30.0,118.58847868190117
-30.0,100.0,50.0,118.58847868190117
-30.0,100.0,70.0,118.58847868190117
-30.0,100.0,90.0,118.58847868190117
-30.0,140.0,10.0,120.39590011722844
-30.0,140.0,30.0,120.39590011722844
-30.0,140.0,50.0,120.39590011722844
-30.0,140.0,70.0,120.39590011722844
-30.0,140.0,90.0,120.39590011722844
-30.0,180.0,10.0,120.84961299465823
-30.0,180.0,30.0,120.84961299465823
-30.0,180.0,50.0,120.84961299465823
-30.0,180.0,70.0,120.84961299465823
-30.0,180.0,90.0,120.84961299465823
-10.0,-180.0,10.0,101.74967532816005
-10.0,-180.0,30.0,101.74967532816005
-10.0,-180.0,50.0,101.74967532816005
-10.0,-180.0,70.0,101.74967532816005
-10.0,-180.0,90.0,101.74967532816005
-10.0,-140.0,10.0,89.43251280640835
-10.0,-140.0,30.0,89.43251280640835
-10.0,-140.0,50.0,89.43251280640835
-10.0,-140.0,70.0,89.43251280640835
-10.0,-140.0,90.0,89.43251280640835
-10.0,-100.0,10.0,79.43550919512128
-10.0,-100.0,30.0,79.43550919512128
-10.0,-100.0,50.0,79.43550919512128
-10.0,-100.0,70.0,79.43550919512128
-10.0,-100.0,90.0,79.43550919512128
-10.0,-60.0,10.0,77.23316546332666
-10.0,-60.0,30.0,77.23316546332666
-10.0,-60.0,50.0,77.23316546332666
-10.0,-60.0,70.0,77.23316546332666
-10.0,-60.0,90.0,77.23316546332666
-10.0,-20.0,10.0,93.22340292604484
-10.0,-20.0,30.0,93.22340292604484
-10.0,-20.0,50.0,93.22340292604484
-10.0,-20.0,70.0,93.22340292604484
-10.0,-20.0,90.0,93.22340292604484
-10.0,20.0,10.0,105.44303556779721
-10.0,20.0,30.0,105.44303556779721
-10.0,20.0,50.0,105.44303556779721
-10.0,20.0,70.0,105.44303556779721
-10.0,20.0,90.0,105.44303556779721
-10.0,60.0,10.0,110.76406929934645
-10.0,60.0,30.0,110.76406929934645
-10.0,60.0,50.0,110.76406929934645
-10.0,60.0,70.0,110.76406929934645
-10.0,60.0,90.0,110.76406929934645
-10.0,100.0,10.0,114.30613641919975
-10.0,100.0,30.0,114.30613641919975
-10.0,100.0,50.0,114.30613641919975
-10.0,100.0,70.0,114.30613641919975
-10.0,100.0,90.0,114.30613641919975
-10.0,140.0,10.0,113.65095729013255
-10.0,140.0,30.0,113.65095729013255
-10.0,140.0,50.0,113.65095729013255
-10.0,140.0,70.0,113.65095729013255
-10.0,140.0,90.0,113.65095729013255
-10.0,180.0,10.0,111.88137086331699
-10.0,180.0,30.0,111.88137086331699
-10.0,180.0,50.0,111.88137086331699
-10.0,180.0,70.0,111.88137086331699
-10.0,180.0,90.0,111.88137086331699
10.0,-180.0,10.0,90.70572388404118
10.0,-180.0,30.0,90.70572388404118
10.0,-180.0,50.0,90.70572388404118
10.0,-180.0,70.0,90.70572388404118
10.0,-180.0,90.0,90.70572388404118
10.0,-140.0,10.0,78.97779802216188
10.0,-140.0,30.0,78.97779802216188
10.0,-140.0,50.0,78.97779802216188
10.0,-140.0,70.0,78.97779802216188
10.0,-140.0,90.0,78.97779802216188
10.0,-100.0,10.0,72.11323173878793
10.0,-100.0,30.0,72.11323173878793
10.0,-100.0,50.0,72.11323173878793
10.0,-100.0,70.0,72.11323173878793
10.0,-100.0,90.0,72.11323173878793
10.0,-60.0,10.0,77.72526362110273
10.0,-60.0,30.0,77.72526362110273
10.0,-60.0,50.0,77.72526362110273
10.0,-60.0,70.0,77.72526362110273
10.0,-60.0,90.0,77.72526362110273
10.0,-20.0,10.0,91.58331296075971
10.0,-20.0,30.0,91.58331296075971
10.0,-20.0,50.0,91.58331296075971
10.0,-20.0,70.0,91.58331296075971
10.0,-20.0,90.0,91.58331296075971
10.0,20.0,10.0,102.06082435581922
10.0,20.0,30.0,102.06082435581922
10.0,20.0,50.0,102.06082435581922
10.0,20.0,70.0,102.06082435581922
10.0,20.0,90.0,102.06082435581922
10.0,60.0,10.0,106.81949899766937
10.0,60.0,30.0,106.81949899766937
10.0,60.0,50.0,106.81949899766937
10.0,60.0,70.0,106.81949899766937
10.0,60.0,90.0,106.81949899766937
10.0,100.0,10.0,104.2579903838318
10.0,100.0,30.0,104.2579903838318
10.0,100.0,50.0,104.2579903838318
10.0,100.0,70.0,104.2579903838318
10.0,100.0,90.0,104.2579903838318
10.0,140.0,10.0,102.07775342215524
10.0,140.0,30.0,102.07775342215524
10.0,140.0,50.0,102.07775342215524
10.0,140.0,70.0,102.07775342215524
10.0,140.0,90.0,102.07775342215524
10.0,180.0,10.0,97.09106830122592
10.0,180.0,30.0,97.09106830122592
10.0,180.0,50.0,97.09106830122592
10.0,180.0,70.0,97.09106830122592
10.0,180.0,90.0,97.09106830122592
30.0,-180.0,10.0,84.53056646615578
30.0,-180.0,30.0,84.53056646615578
30.0,-180.0,50.0,84.53056646615578
30.0,-180.0,70.0,84.53056646615578
30.0,-180.0,90.0,84.53056646615578
30.0,-140.0,10.0,77.9494556846093
30.0,-140.0,30.0,77.9494556846093
30.0,-140.0,50.0,77.9494556846093
30.0,-140.0,70.0,77.9494556846093
30.0,-140.0,90.0,77.9494556846093
30.0,-100.0,10.0,73.44986238914682
30.0,-100.0,30.0,73.44986238914682
30.0,-100.0,50.0,73.44986238914682
30.0,-100.0,70.0,73.44986238914682
30.0,-100.0,90.0,73.44986238914682
30.0,-60.0,10.0,77.63185041012095
30.0,-60.0,30.0,77.63185041012095
30.0,-60.0,50.0,77.63185041012095
30.0,-60.0,70.0,77.63185041012095
30.0,-60.0,90.0,77.63185041012095
30.0,-20.0,10.0,88.08574791909979
30.0,-20.0,30.0,88.08574791909979
30.0,-20.0,50.0,88.08574791909979
30.0,-20.0,70.0,88.08574791909979
30.0,-20.0,90.0,88.08574791909979
30.0,20.0,10.0,91.37734275068128
30.0,20.0,30.0,91.37734275068128
30.0,20.0,50.0,91.37734275068128
30.0,20.0,70.0,91.37734275068128
30.0,20.0,90.0,91.37734275068128
30.0,60.0,10.0,92.79930951387924
30.0,60.0,30.0,92.79930951387924
30.0,60.0,50.0,92.79930951387924
30.0,60.0,70.0,92.79930951387924
30.0,60.0,90.0,92.79930951387924
30.0,100.0,10.0,92.16398395003382
30.0,100.0,30.0,92.16398395003382
30.0,100.0,50.0,92.16398395003382
30.0,100.0,70.0,92.16398395003382
30.0,100.0,90.0,92.16398395003382
30.0,140.0,10.0,92.10829456037429
30.0,140.0,30.0,92.10829456037429
30.0,140.0,50.0,92.10829456037429
30.0,140.0,70.0,92.10829456037429
30.0,140.0,90.0,92.10829456037429
30.0,180.0,10.0,87.26563280731878
30.0,180.0,30.0,87.26563280731878
30.0,180.0,50.0,87.26563280731878
30.0,180.0,70.0,87.26563280731878
30.0,180.0,90.0,87.26563280731878
50.0,-180.0,10.0,71.11657121955123
50.0,-180.0,30.0,71.11657121955123
50.0,-180.0,50.0,71.11657121955123
50.0,-180.0,70.0,71.11657121955123
50.0,-180.0,90.0,71.11657121955123
50.0,-140.0,10.0,69.01241699867198
50.0,-140.0,30.0,69.01241699867198
50.0,-140.0,50.0,69.01241699867198
50.0,-140.0,70.0,69.01241699867198
50.0,-140.0,90.0,69.01241699867198
50.0,-100.0,10.0,68.84059294669375
50.0,-100.0,30.0,68.84059294669375
50.0,-100.0,50.0,68.84059294669375
50.0,-100.0,70.0,68.84059294669375
50.0,-100.0,90.0,68.84059294669375
50.0,-60.0,10.0,71.0383427766286
50.0,-60.0,30.0,71.0383427766286
50.0,-60.0,50.0,71.0383427766286
50.0,-60.0,70.0,71.0383427766286
50.0,-60.0,90.0,71.0383427766286
50.0,-20.0,10.0,76.743862903582
50.0,-20.0,30.0,76.743862903582
50.0,-20.0,50.0,76.743862903582
50.0,-20.0,70.0,76.743862903582
50.0,-20.0,90.0,76.743862903582
50.0,20.0,10.0,79.96891083395164
50.0,20.0,30.0,79.96891083395164
50.0,20.0,50.0,79.96891083395164
50.0,20.0,70.0,79.96891083395164
50.0,20.0,90.0,79.96891083395164
50.0,60.0,10.0,82.94073008451717
50.0,60.0,30.0,82.94073008451717
50.0,60.0,50.0,82.94073008451717
50.0,60.0,70.0,82.94073008451717
50.0,60.0,90.0,82.94073008451717
50.0,100.0,10.0,82.52841732670704
50.0,100.0,30.0,82.52841732670704
50.0,100.0,50.0,82.52841732670704
50.0,100.0,70.0,82.52841732670704
50.0,100.0,90.0,82.52841732670704
50.0,140.0,10.0,83.04499355175544
50.0,140.0,30.0,83.04499355175544
50.0,140.0,50.0,83.04499355175544
50.0,140.0,70.0,83.04499355175544
50.0,140.0,90.0,83.04499355175544
50.0,180.0,10.0,79.82957290669584
50.0,180.0,30.0,79.82957290669584
50.0,180.0,50.0,79.82957290669584
50.0,180.0,70.0,79.82957290669584
50.0,180.0,90.0,79.82957290669584
70.0,-180.0,10.0,71.21689591059973
70.0,-180.0,30.0,71.21689591059973
70.0,-180.0,50.0,71.21689591059973
70.0,-180.0,70.0,71.21689591059973
70.0,-180.0,90.0,71.21689591059973
70.0,-140.0,10.0,68.5217789851442
70.0,-140.0,30.0,68.5217789851442
70.0,-140.0,50.0,68.5217789851442
70.0,-140.0,70.0,68.5217789851442
70.0,-140.0,90.0,68.5217789851442
70.0,-100.0,10.0,69.6870840584049
70.0,-100.0,30.0,69.6870840584049
70.0,-100.0,50.0,69.6870840584049
70.0,-100.0,70.0,69.6870840584049
70.0,-100.0,90.0,69.6870840584049
70.0,-60.0,10.0,72.0432817395733
70.0,-60.0,30.0,72.0432817395733
70.0,-60.0,50.0,72.0432817395733
70.0,-60.0,70.0,72.0432817395733
70.0,-60.0,90.0,72.0432817395733
70.0,-20.0,10.0,76.74242586912065
70.0,-20.0,30.0,76.74242586912065
70.0,-20.0,50.0,76.74242586912065
70.0,-20.0,70.0,76.74242586912065
70.0,-20.0,90.0,76.74242586912065
70.0,20.0,10.0,77.83676467582373
70.0,20.0,30.0,77.83676467582373
70.0,20.0,50.0,77.83676467582373
70.0,20.0,70.0,77.83676467582373
70.0,20.0,90.0,77.83676467582373
70.0,60.0,10.0,80.14351805762955
70.0,60.0,30.0,80.14351805762955
70.0,60.0,50.0,80.14351805762955
70.0,60.0,70.0,80.14351805762955
70.0,60.0,90.0,80.14351805762955
70.0,100.0,10.0,79.51026395701939
70.0,100.0,30.0,79.51026395701939
70.0,100.0,50.0,79.51026395701939
70.0,100.0,70.0,79.51026395701939
70.0,100.0,90.0,79.51026395701939
70.0,140.0,10.0,78.01188373272896
70.0,140.0,30.0,78.01188373272896
70.0,140.0,50.0,78.01188373272896
70.0,140.0,70.0,78.01188373272896
70.0,140.0,90.0,78.01188373272896
70.0,180.0,10.0,74.00204552632218
70.0,180.0,30.0,74.00204552632218
70.0,180.0,50.0,74.00204552632218
70.0,180.0,70.0,74.00204552632218
70.0,180.0,90.0,74.00204552632218
90.0,-180.0,10.0,74.01963164208595
90.0,-180.0,30.0,74.01963164208595
90.0,-180.0,50.0,74.01963164208595
90.0,-180.0,70.0,74.01963164208595
90.0,-180.0,90.0,74.01963164208595
90.0,-140.0,10.0,73.99151422114195
90.0,-140.0,30.0,73.99151422114195
90.0,-140.0,50.0,73.99151422114195
90.0,-140.0,70.0,73.99151422114195
90.0,-140.0,90.0,73.99151422114195
90.0,-100.0,10.0,75.02344852885784
90.0,-100.0,30.0,75.02344852885784
90.0,-100.0,50.0,75.02344852885784
90.0,-100.0,70.0,75.02344852885784
90.0,-100.0,90.0,75.02344852885784
90.0,-60.0,10.0,75.74636086468148
90.0,-60.0,30.0,75.74636086468148
90.0,-60.0,50.0,75.74636086468148
90.0,-60.0,70.0,75.74636086468148
90.0,-60.0,90.0,75.74636086468148
90.0,-20.0,10.0,77.48064132926764
90.0,-20.0,30.0,77.48064132926764
90.0,-20.0,50.0,77.48064132926764
90.0,-20.0,70.0,77.48064132926764
90.0,-20.0,90.0,77.48064132926764
90.0,20.0,10.0,76.53509269268663
90.0,20.0,30.0,76.53509269268663
90.0,20.0,50.0,76.53509269268663
90.0,20.0,70.0,76.53509269268663
90.0,20.0,90.0,76.53509269268663
90.0,60.0,10.0,76.04118731183534
90.0,60.0,30.0,76.04118731183534
90.0,60.0,50.0,76.04118731183534
90.0,60.0,70.0,76.04118731183534
90.0,60.0,90.0,76.04118731183534
90.0,100.0,10.0,76.95405919993719
90.0,100.0,30.0,76.95405919993719
90.0,100.0,50.0,76.95405919993719
90.0,100.0,70.0,76.95405919993719
90.0,100.0,90.0,76.95405919993719
90.0,140.0,10.0,80.03776957541147
90.0,140.0,30.0,80.03776957541147
90.0,140.0,50.0,80.03776957541147
90.0,140.0,70.0,80.03776957541147
90.0,140.0,90.0,80.03776957541147
90.0,180.0,10.0,80.46967282845232
90.0,180.0,30.0,80.46967282845232
90.0,180.0,50.0,80.46967282845232
90.0,180.0,70.0,80.46967282845232
90.0,180.0,90.0,80.46967282845232
